PATH,PROGRAMA,RESOLUCION,IMAGEN_FONDO,TITULO_A_OBTENER,DOBLE_TITULACION,DESCRIPCION,META_DESCRIPCION,MODALIDAD,TIPO,DURACION,URL_SITIOWEB,URL_BROCHURE,PIXEL_GTM,title
administracion-de-empresas,Administracion de Empresas,RPC-SO-27-No.527-2017RPC-SO-16-No. 322-2020,/informacion/grado/administracion-de-empresas/images/background.jpg,Licenciado en Administración de Empresas,,"El egresado de la Licenciatura en Administración de Empresas tendrá la capacidad de aportar a la transformación económica-productiva, apoyando al desarrollo de los sectores estratégicos, industrial y tecnológicos del país; respetando la diversidad cultural y colaborando con una sociedad más igualitaria, justa y preocupada por el medio ambiente a través del estudio de artículos científicos, actas de congresos, análisis de casos de éxito de empresas iberoamericanas, anglosajonas y europeas y charlas y exposiciones con empresarios nacionales.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/administracion-de-empresas-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/ADMINISTRACIO%CC%81N%20DE%20EMPRESAS.pdf,GTM-58CRP56,Administración De Empresas
ciencia-de-datos,Ciencia de Datos,RPC-SO-26-No.428-2023,/informacion/grado/ciencia-de-datos/images/background.jpg,Ingeniero en Ciencia de Datos,,"Formar profesionales capaces de extraer conocimientos significativos a partir de datos, aplicando técnicas y herramientas avanzadas en una variedad de contextos, a través de una formación sólida en estadísticas, programación, ética y comunicación, capaces de desarrollar nuevas tecnologías y sistemas de procesamiento de datos e integrarlos en diferentes industrias, empresas y organizaciones, aportando a la resolución de problemas del mundo real.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/ciencia-de-datos?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/CIENCIA%20DE%20DATOS.pdf,GTM-58CRP56,Ciencia De Datos
computacion,Computacion,RPC-SO-25-No.488-2017RPC-SO-16-No. 322-2020,/informacion/grado/computacion/images/background.jpg,Ingeniero en ciencias de la computación,,"Un Ingeniero en ciencias de la computación de la UEES es un profesional innovador, capacitado para aportar al desarrollo de la sociedad con soluciones integrales a problemas vinculados a su disciplina, en el contexto nacional y global, mediante el uso eficiente de la tecnología, aplicando normas de calidad y considerando los aspectos de responsabilidad social, económica y ambiental, enmarcados en lo ético y lo moral. El conjunto de conocimientos, habilidades, actitudes y valores impartidos en la UEES, le permiten al profesional prestar sus servicios en cualquier organización de bienes y servicios, tanto en los sectores público, privado y social.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/ciencias-de-la-computacion-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/COMPUTACIO%CC%81N.pdf,GTM-58CRP56,Computación
ciencias-del-fuego-y-seguridad-contra-incendios,Ciencias del Fuego y Seguridad Contra Incendios,RPC-SO-22-No.341-2022,/informacion/grado/ciencias-del-fuego-y-seguridad-contra-incendios/images/background.jpg,Licenciado/a en Ciencias del Fuego y Seguridad Contra Incendios,,"La carrera de Ciencias del Fuego y Seguridad Contra Incendios de la UEES Online dota de conocimientos especializados y desarrolla habilidades orientadas a la prevención, mitigación y acción en situaciones de riesgos o emergencias. El profesional será capaz de dar soluciones integrales a problemas o desastres relacionados a los incendios, a través de sólidos fundamentos teóricos y prácticos que conlleve a visualizar nuevos procedimientos para contribuir al desarrollo de las ciencias.",,Online,Grado,2 años,https://online.uees.edu.ec/grado/ciencias-del-fuego-y-seguridad-contra-incendios?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/CIENCIAS%20DEL%20FUEGO%20Y%20SEGURIDAD%20CONTRA%20INCENDIOS.pdf,GTM-58CRP56,Ciencias Del Fuego Y Seguridad Contra Incendios
comercio-exterior,Comercio Exterior,RPC-SO-10-No.127-2018RPC-SE-09-No.086-2020,/informacion/grado/comercio-exterior/images/background.jpg,Licenciado en Comercio Exterior,,"La carrera de Comercio Exterior forma profesionales capaces de aportar a la transformación económica y productiva del país, apoyando al desarrollo de los sectores estratégicos para la búsqueda del comercio integrado a nivel nacional e internacional, respetando la diversidad cultural y colaborando con una sociedad más igualitaria, justa y preocupada por el medio ambiente. La metodología implica el estudio de artículos científicos, actas de congresos, análisis de casos exitosos de empresas iberoamericanas, anglosajonas y europeas, con charlas y exposiciones con empresarios honestos, exitosos y socialmente responsables.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/comercio-exterior-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/COMERCIO%20EXTERIOR.pdf,GTM-58CRP56,Comercio Exterior
contabilidad-y-auditoria,Contabilidad y Auditoria,RPC-SO-10-No.127-2018RPC-SO-16-No.322-2020,/informacion/grado/contabilidad-y-auditoria/images/background.jpg,Licenciado en Contabilidad y Auditoría,,"La carrera de Contabilidad y Auditoría de la UEES involucra una educación, capacitación, práctica e investigación con un enfoque inclusivo, ético y humanístico. La carrera comprende estudios relacionados a funciones y procesos derivados de la gestión empresarial, incluyendo actividades de comercialización, administración, producción y financiación.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/contabilidad-y-auditoria-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/CONTABILIDAD%20Y%20AUDITORI%CC%81A.pdf,GTM-58CRP56,Contabilidad Y Auditoría
derecho,Derecho,RPC-SO-30-No.562-2017RPC-SE-09-No. 086-2020,/informacion/grado/derecho/images/background.jpg,Abogado,,"Formar abogados con fundamentos éticos y humanísticos sólidos, con capacidad de análisis, razonamiento crítico y argumentación para resolver problemas jurídicos, que desarrollen destrezas en el conocimiento general y específico del derecho, teniendo a la oralidad como uno de los retos que debe cumplir el abogado.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/derecho-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/DERECHO.pdf,GTM-58CRP56,Derecho
desarrollo-operacion-seguridad-software,Desarrollo operación y seguridad de software,RPC-SO-33-No.554-2023,/informacion/grado/desarrollo-operacion-seguridad-software/images/background.jpg,"Ingeniero/a en Desarrollo, Operación y Seguridad de Software",,"El objetivo de la carrera de Desarrollo, Operación y Seguridad de Software es formar profesionales capaces de diseñar, desarrollar y mantener software de alta calidad y seguridad, así como administrar sistemas informáticos de manera eficiente, garantizando la protección de datos y la prevención de vulnerabilidades. Esta carrera también busca preparar a los estudiantes para adaptarse a las cambiantes demandas de la industria tecnológica y promover la ética y la responsabilidad a lo largo del ciclo de vida de un proyecto de software.",,Online,Grado,,https://online.uees.edu.ec/grado/desarrollo-operacion-seguridad-software?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/DESARROLLO%20OPERACIO%CC%81N%20Y%20SEGURIDAD%20DE%20SOFTWARE.pdf,GTM-58CRP56,Desarrollo Operación Y Seguridad De Software
diseno-de-interiores,Diseño de interiores,RPC-SO-41-No.706-2023,/informacion/grado/diseno-de-interiores/images/background.jpg,Licenciado/a en Diseño de Interiores,,"La licenciatura en Diseño de Interiores busca formar profesionales integrales, combinando teoría, práctica y creatividad en el diseño de espacios. Promueve competencias técnicas, principios estéticos, funcionalidad, sostenibilidad y ética profesional, preparando a los estudiantes para destacar como diseñadores, colaboradores o líderes en proyectos que fusionen estética y funcionalidad.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/diseno-de-interiores?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/DISE%C3%91O%20DE%20INTERIORES.pdf,GTM-58CRP56,Diseño De Interiores
educacion,Educacion,RPC-SO-28-No.447-2019,/informacion/grado/educacion/images/background.jpg,Licenciado en Ciencias de la Educación,,"La carrera de Licenciatura en Educación tiene como objeto principal formar docentes con competencias profesionales éticas y sociales a fin de atender las necesidades, desarrollo y cuidado del niño y el adolescente en su formación integral, diseñando planes y programas educativos que incentiven el desarrollo armónico, de los aspectos cognitivos, afectivas y sociales que promuevan la calidad educativa.",,Online,Grado,4 años,https://online.uees.edu.ec/grado/educacion-online?utm_campaign=UEES_GRADO_EC&platform=LANDING&utm_source=REFERIDO&utm_medium=TRAFICO&utm_term=INTERESES_ESPECIFICO&utm_content=CAMP_LANDINGS_ABR26&utm_id=BTN_VER_PROGRAMA,https://online.uees.edu.ec/grado/mallas/EDUCACI%C3%93N.pdf,GTM-58CRP56,Educacion
